WHITE: 76 {(Name: LegalMoves, Weight: 0.07510179856735348), (Name: Stone Count, Weight: 0.10067084593961777), (Name: SidePieces, Weight: 0.3212671229567636), (Name: CornerPieces, Weight: 0.2726732804362141), (Name: BlockedAdjacent, Weight: 0.23028695210005115), }
WHITE: 77 {(Name: LegalMoves, Weight: 0.06144502536810387), (Name: Stone Count, Weight: 0.1417830566081656), (Name: SidePieces, Weight: 0.3058937190378292), (Name: CornerPieces, Weight: 0.2729700109313029), (Name: BlockedAdjacent, Weight: 0.21790818805459844), }
WHITE: 78 {(Name: LegalMoves, Weight: 0.0650161149479229), (Name: Stone Count, Weight: 0.1101406312971764), (Name: SidePieces, Weight: 0.3265544280444656), (Name: CornerPieces, Weight: 0.2656885815552696), (Name: BlockedAdjacent, Weight: 0.2326002441551656), }
WHITE: 79 {(Name: LegalMoves, Weight: 0.0522802523402755), (Name: Stone Count, Weight: 0.1557389022629866), (Name: SidePieces, Weight: 0.30212036539691633), (Name: CornerPieces, Weight: 0.2783794219084224), (Name: BlockedAdjacent, Weight: 0.21148105809139925), }
WHITE: 80 {(Name: LegalMoves, Weight: 0.05007679612849049), (Name: Stone Count, Weight: 0.12382993444150013), (Name: SidePieces, Weight: 0.3242057811298404), (Name: CornerPieces, Weight: 0.27187567495613535), (Name: BlockedAdjacent, Weight: 0.23001181334403362), }
WHITE: 81 {(Name: LegalMoves, Weight: 0.04592939670929448), (Name: Stone Count, Weight: 0.1650322589975299), (Name: SidePieces, Weight: 0.29702820003231417), (Name: CornerPieces, Weight: 0.28165477305347825), (Name: BlockedAdjacent, Weight: 0.21035537120738312), }
WHITE: 82 {(Name: LegalMoves, Weight: 0.04692693947970575), (Name: Stone Count, Weight: 0.13311908283834947), (Name: SidePieces, Weight: 0.3163366230314647), (Name: CornerPieces, Weight: 0.2791843676897906), (Name: BlockedAdjacent, Weight: 0.22443298696068956), }
WHITE: 83 {(Name: LegalMoves, Weight: 0.03563188244528664), (Name: Stone Count, Weight: 0.1933643497543462), (Name: SidePieces, Weight: 0.28631768848641614), (Name: CornerPieces, Weight: 0.28247548789369853), (Name: BlockedAdjacent, Weight: 0.2022105914202526), }
WHITE: 84 {(Name: LegalMoves, Weight: 0.03700438310117875), (Name: Stone Count, Weight: 0.15456204456811487), (Name: SidePieces, Weight: 0.3089673917405198), (Name: CornerPieces, Weight: 0.28339705552563305), (Name: BlockedAdjacent, Weight: 0.2160691250645537), }
WHITE: 85 {(Name: LegalMoves, Weight: 0.0297471589663957), (Name: Stone Count, Weight: 0.21485639671319043), (Name: SidePieces, Weight: 0.2795022983850527), (Name: CornerPieces, Weight: 0.27876203557444923), (Name: BlockedAdjacent, Weight: 0.19713211036091194), }
WHITE: 86 {(Name: LegalMoves, Weight: 0.03002765811178747), (Name: Stone Count, Weight: 0.1804404506657642), (Name: SidePieces, Weight: 0.3031182713145829), (Name: CornerPieces, Weight: 0.2741990046152963), (Name: BlockedAdjacent, Weight: 0.21221461529256916), }
WHITE: 87 {(Name: LegalMoves, Weight: 0.03340228025646702), (Name: Stone Count, Weight: 0.24362679570528573), (Name: SidePieces, Weight: 0.26832252538755635), (Name: CornerPieces, Weight: 0.26196074536979264), (Name: BlockedAdjacent, Weight: 0.19268765328089826), }
WHITE: 88 {(Name: LegalMoves, Weight: 0.03324071855009998), (Name: Stone Count, Weight: 0.2213485559373306), (Name: SidePieces, Weight: 0.287110237782967), (Name: CornerPieces, Weight: 0.24871962665316302), (Name: BlockedAdjacent, Weight: 0.20958086107643933), }
WHITE: 89 {(Name: LegalMoves, Weight: 0.09193815994571385), (Name: Stone Count, Weight: 0.24603300348742646), (Name: SidePieces, Weight: 0.2428209916643283), (Name: CornerPieces, Weight: 0.2259550655465942), (Name: BlockedAdjacent, Weight: 0.19325277935593727), }
WHITE: 90 {(Name: LegalMoves, Weight: 0.07466855903533381), (Name: Stone Count, Weight: 0.2317170042732429), (Name: SidePieces, Weight: 0.269634143097824), (Name: CornerPieces, Weight: 0.21371090883132357), (Name: BlockedAdjacent, Weight: 0.21026938476227575), }
WHITE: 91 {(Name: LegalMoves, Weight: 0.2), (Name: Stone Count, Weight: 0.2), (Name: SidePieces, Weight: 0.2), (Name: CornerPieces, Weight: 0.2), (Name: BlockedAdjacent, Weight: 0.2), }
BLACK: 0 {(Name: LegalMoves, Weight: 0.8730248582357445), (Name: Stone Count, Weight: 0.032469115627889795), (Name: SidePieces, Weight: 0.02461077785481584), (Name: CornerPieces, Weight: 0.02461077785481584), (Name: BlockedAdjacent, Weight: 0.04528447042673414), }
BLACK: 1 {(Name: LegalMoves, Weight: 0.7968525350933263), (Name: Stone Count, Weight: 0.033475791287087275), (Name: SidePieces, Weight: 0.033475791287087275), (Name: CornerPieces, Weight: 0.033475791287087275), (Name: BlockedAdjacent, Weight: 0.10272009104541185), }
BLACK: 2 {(Name: LegalMoves, Weight: 0.9034664095317007), (Name: Stone Count, Weight: 0.06692358881413984), (Name: SidePieces, Weight: 0.002268013828586938), (Name: CornerPieces, Weight: 0.002268013828586938), (Name: BlockedAdjacent, Weight: 0.025073973996985657), }
BLACK: 3 {(Name: LegalMoves, Weight: 0.7220720201563111), (Name: Stone Count, Weight: 0.20496531632538442), (Name: SidePieces, Weight: 0.0037473917908567044), (Name: CornerPieces, Weight: 0.0037473917908567044), (Name: BlockedAdjacent, Weight: 0.06546787993659108), }
BLACK: 4 {(Name: LegalMoves, Weight: 0.8133952217834188), (Name: Stone Count, Weight: 0.12808977574321695), (Name: SidePieces, Weight: 0.0013438545999350203), (Name: CornerPieces, Weight: 0.0013438545999350203), (Name: BlockedAdjacent, Weight: 0.05582729327349416), }
BLACK: 5 {(Name: LegalMoves, Weight: 0.702365073003954), (Name: Stone Count, Weight: 0.23913958709962999), (Name: SidePieces, Weight: 3.367049166645325E-4), (Name: CornerPieces, Weight: 3.367049166645325E-4), (Name: BlockedAdjacent, Weight: 0.057821930063086946), }
BLACK: 6 {(Name: LegalMoves, Weight: 0.8476453318109789), (Name: Stone Count, Weight: 0.09084091982582122), (Name: SidePieces, Weight: 5.81670340254879E-4), (Name: CornerPieces, Weight: 5.81670340254879E-4), (Name: BlockedAdjacent, Weight: 0.06035040768269017), }
BLACK: 7 {(Name: LegalMoves, Weight: 0.7113806225061153), (Name: Stone Count, Weight: 0.18588090003135788), (Name: SidePieces, Weight: 0.005528939721299169), (Name: CornerPieces, Weight: 0.03046878724010215), (Name: BlockedAdjacent, Weight: 0.06674075050112535), }
